2022-11-25, 11:25:26.209948, 170000000, 175000000, 1000000.00, 20, -57.80, -56.57, -59.25, -59.57, -59.04
2022-11-25, 11:25:26.209948, 180000000, 185000000, 1000000.00, 20, -63.77, -63.80, -61.72, -73.92, -66.60
2022-11-25, 11:25:26.209948, 185000000, 190000000, 1000000.00, 20, -22.09, -21.43, -32.45, -54.72, -57.40
2022-11-25, 11:25:26.209948, 195000000, 200000000, 1000000.00, 20, -70.60, -63.77, -69.11, -65.55, -64.28
2022-11-25, 11:25:26.209948, 190000000, 195000000, 1000000.00, 20, -68.67, -84.61, -68.53, -65.52, -65.15
2022-11-25, 11:25:26.209948, 200000000, 205000000, 1000000.00, 20, -61.96, -56.74, -54.67, -54.92, -55.31
2022-11-25, 11:25:26.209948, 205000000, 210000000, 1000000.00, 20, -55.85, -50.05, -49.50, -56.02, -68.84
2022-11-25, 11:25:26.209948, 215000000, 220000000, 1000000.00, 20, -76.99, -67.06, -61.90, -58.72, -61.01
2022-11-25, 11:25:26.209948, 210000000, 215000000, 1000000.00, 20, -58.23, -59.36, -65.86, -61.52, -59.32
2022-11-25, 11:25:26.209948, 220000000, 225000000, 1000000.00, 20, -62.45, -71.84, -68.92, -74.91, -68.28
2022-11-25, 11:25:26.209948, 225000000, 230000000, 1000000.00, 20, -60.37, -62.52, -62.07, -69.80, -61.40
2022-11-25, 11:25:26.209948, 235000000, 240000000, 1000000.00, 20, -59.20, -66.42, -64.67, -70.70, -78.28
2022-11-25, 11:25:26.209948, 230000000, 235000000, 1000000.00, 20, -62.63, -61.56, -63.44, -64.98, -64.39
2022-11-25, 11:25:26.209948, 240000000, 245000000, 1000000.00, 20, -63.93, -62.78, -65.99, -60.13, -63.12
hackrf_sweep | rx_callback() | Data Caught. Iteration 1 finished
2022-11-25, 11:25:26.444830, 45000000, 50000000, 1000000.00, 20, -65.83, -67.81, -68.29, -67.55, -60.57
2022-11-25, 11:25:26.444830, 55000000, 60000000, 1000000.00, 20, -65.21, -61.97, -58.05, -60.13, -48.43
2022-11-25, 11:25:26.444830, 50000000, 55000000, 1000000.00, 20, -64.43, -63.31, -63.14, -65.27, -65.78
2022-11-25, 11:25:26.444830, 60000000, 65000000, 1000000.00, 20, -59.17, -58.92, -64.62, -71.55, -71.82
2022-11-25, 11:25:26.444830, 65000000, 70000000, 1000000.00, 20, -60.81, -63.33, -65.27, -74.57, -67.57
2022-11-25, 11:25:26.444830, 75000000, 80000000, 1000000.00, 20, -57.10, -56.20, -59.85, -62.48, -57.38
2022-11-25, 11:25:26.444830, 70000000, 75000000, 1000000.00, 20, -59.13, -59.80, -69.51, -69.99, -69.43
2022-11-25, 11:25:26.444830, 80000000, 85000000, 1000000.00, 20, -61.77, -61.57, -63.22, -72.37, -65.95
2022-11-25, 11:25:26.444830, 85000000, 90000000, 1000000.00, 20, -61.71, -63.73, -70.35, -73.62, -75.90
2022-11-25, 11:25:26.444830, 95000000, 100000000, 1000000.00, 20, -57.79, -62.37, -56.59, -56.82, -62.74
2022-11-25, 11:25:26.444830, 90000000, 95000000, 1000000.00, 20, -57.75, -62.33, -79.05, -71.38, -87.40
2022-11-25, 11:25:26.444830, 100000000, 105000000, 1000000.00, 20, -62.59, -61.63, -61.46, -63.56, -64.48
2022-11-25, 11:25:26.444830, 105000000, 110000000, 1000000.00, 20, -37.63, -46.95, -63.58, -67.75, -75.73
2022-11-25, 11:25:26.444830, 115000000, 120000000, 1000000.00, 20, -63.03, -67.53, -68.79, -67.80, -61.68
2022-11-25, 11:25:26.444830, 110000000, 115000000, 1000000.00, 20, -63.91, -65.15, -61.42, -62.69, -60.43
2022-11-25, 11:25:26.444830, 120000000, 125000000, 1000000.00, 20, -50.18, -69.23, -61.71, -65.64, -67.54
2022-11-25, 11:25:26.444830, 125000000, 130000000, 1000000.00, 20, -44.05, -46.48, -78.23, -47.88, -37.44
2022-11-25, 11:25:26.444830, 135000000, 140000000, 1000000.00, 20, -59.63, -56.74, -54.96, -60.29, -62.56
2022-11-25, 11:25:26.444830, 130000000, 135000000, 1000000.00, 20, -16.73, -28.90, -43.44, -45.23, -44.37
2022-11-25, 11:25:26.444830, 140000000, 145000000, 1000000.00, 20, -59.64, -58.61, -58.42, -68.69, -56.37
2022-11-25, 11:25:26.444830, 145000000, 150000000, 1000000.00, 20, -55.53, -46.70, -35.87, -18.68, -6.21
2022-11-25, 11:25:26.444830, 155000000, 160000000, 1000000.00, 20, -55.80, -60.09, -54.89, -32.14, -21.10
2022-11-25, 11:25:26.444830, 150000000, 155000000, 1000000.00, 20, -5.89, -18.08, -36.52, -44.31, -50.65
2022-11-25, 11:25:26.444830, 160000000, 165000000, 1000000.00, 20, -16.71, -28.95, -47.40, -51.07, -48.16
2022-11-25, 11:25:26.444830, 165000000, 170000000, 1000000.00, 20, -63.42, -63.95, -67.91, -70.28, -61.86
2022-11-25, 11:25:26.444830, 175000000, 180000000, 1000000.00, 20, -68.91, -59.43, -60.22, -66.68, -77.56
2022-11-25, 11:25:26.444830, 170000000, 175000000, 1000000.00, 20, -63.01, -61.76, -63.03, -68.11, -65.21
2022-11-25, 11:25:26.444830, 180000000, 185000000, 1000000.00, 20, -65.31, -73.59, -59.40, -57.17, -66.63
2022-11-25, 11:25:26.444830, 185000000, 190000000, 1000000.00, 20, -22.14, -21.56, -32.91, -52.80, -57.41
2022-11-25, 11:25:26.444830, 195000000, 200000000, 1000000.00, 20, -64.07, -66.22, -81.83, -75.52, -63.49
2022-11-25, 11:25:26.444830, 190000000, 195000000, 1000000.00, 20, -61.01, -63.29, -62.93, -77.49, -65.55
2022-11-25, 11:25:26.444830, 200000000, 205000000, 1000000.00, 20, -56.71, -50.61, -53.19, -57.81, -58.00
2022-11-25, 11:25:26.464566, 205000000, 210000000, 1000000.00, 20, -67.92, -49.88, -49.07, -63.03, -61.23
